Num,Networth Next Year,Default,Total assets,Net worth,Total Income,Total Income/Total assets,Change in stock,Change in stock/Total Income,Total expenses,Total expenses/Total Income,Profit after tax,Profit after tax/Total assets,PBDITA,PBDITA/Total assets,PBT,PBT/Total assets,Cash profit,Cash profit/Total assets,PBDITA as % of total income,PBT as % of total income,PAT as % of total income,Cash profit as % of total income,PAT as % of net worth,Sales,Sales/Total assets,Income from financial services,Income from financial services/Total Income,Other income,Other income/Total Income,Total capital,Total capital/Total_Assets,Reserves and funds,Reserves and funds/Total_Assets,Borrowings,Borrowings/Total_Assets,Current liabilities & provisions,Current liabilities & provisions/Total_assets,Deferred tax liability,Deferred tax liability/Total_Assets,Shareholders funds,Shareholders funds/Total_assets,Cumulative retained profits,Cumulative retained profits/Total Income,Capital employed,Capital employed/Total assets,TOL/TNW,Total term liabilities / tangible net worth,Contingent liabilities / Net worth (%),Contingent liabilities,Contingent liabilities/Total Assets,Net fixed assets,Net fixed assets/Total Assets,Investments,Investments/Total Income,Current assets,Current assets/Total_Assets,Net working capital,Net working capital/Total Capital,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Cash to current liabilities (times),Cash to average cost of sales per day,Creditors turnover,Debtors turnover,Finished goods turnover,WIP turnover,Raw material turnover,Shares outstanding,Equity face value,EPS,Adjusted EPS,Total liabilities,PE on BSE,Dev model
3218,-108.7,1,542,92.5,549.8,1.014391144,19.7,0.035831211,605.3,1.100945798,-35.8,-0.066051661,-10.3,-0.01900369,-51.3,-0.094649446,-37.7,-0.069557196,-1.87,-9.33,-6.51,-6.86,-33.27,549.6,1.01402214,0.2,0.000363769,41.69389313,0.075834655,33.1,0.061070111,60.7,0.11199262,309.9,0.571771218,111.5,0.205719557,26.8,0.0494,92.5,0.170664207,28.8,0.052382685,402.4,0.742435424,4.55,1.72,5.51,5.1,0.009409594,136.2,0.251291513,11.5,0.020916697,242,0.446494465,-14.7,-0.444108761,0.55,0.94,3.35,0.03,4.7,8.24,4.47,16.36,15.14,4.85,3290276,10,-10.88,-10.88,542,-1.55,1
3360,-104.6,1,543.2,14,235.4,0.433357879,25.1,0.106627018,401,1.703483432,-140.5,-0.25865243,-23.11,-0.042544183,-140.3,-0.258284242,-108.666,-0.200047865,-34.49,-31.9608,-28.7076,-49.79,0,229.6,0.422680412,1.7,0.00722175,0.8,0.003398471,169.6,0.312223859,-155.6,-0.286450663,378.6,0.696980854,150.6,0.27724595,228.1465496,0.42,14,0.025773196,-155.6,-0.661002549,392.6,0.72275405,37.11,18.29,150.71,21.1,0.038843888,328.8,0.605301915,701.0139914,2.977969377,201.7,0.371318115,-67.1,-0.395636792,0.21,0.75,27.04,0.01,2.69,15.66536849,17.28342431,87.5324658,27.97205637,19.38653821,22284601.68,-1348.444874,0.07,0.07,543.2,64.07801191,1
2961,-94.7,1,157.7,24.1,134.3,0.851616994,-1,-0.007446016,147.8,1.100521221,-14.5,-0.091946734,-12,-0.076093849,-21.6,-0.136968928,17.2,0.10906785,-8.94,-16.08,-10.8,12.81,-46.33,128.2,0.812935954,81.34220077,0.605675359,3.8,0.028294862,0.5,0.003170577,23.6,0.149651237,38,0.240963855,95.6,0.606214331,228.1465496,1.4467,24.1,0.152821814,23.6,0.175725987,62.1,0.393785669,2.36,1.58,0.41,0.1,0.000634115,8.3,0.052631579,701.0139914,5.219761663,49.4,0.313253012,-46.2,-92.4,0.28,0.52,1.58,0.09,25,3.74,7.68,7.14,6.49,4.7,50000,10,424.2444,394.2376,157.7,64.07801191,1
1192,-86.5,1,1004.2,21.7,923.6,0.919737104,278.7,0.301754006,1178,1.275443915,24.3,0.024198367,66.6,0.06632145,39.7,0.039533957,23.9,0.02380004,7.21,4.3,2.63,2.59,97.137,920.4,0.916550488,1.4,0.001515808,1.8,0.001948896,15,0.014937263,6.7,0.006671978,672.2,0.669388568,310.3,0.309002191,228.1465496,0.2272,21.7,0.021609241,6.7,0.007254223,693.9,0.690997809,44.54,0,0,936.4739761,0.932557236,1207.22603,1.202176887,4.8,0.005197055,928.8,0.924915356,-53.7,-3.58,0.01,0.95,30.98,0,0.43,7.35,191.2038,1.02,0.25,0,22284601.68,-1348.444874,-0.01,-0.01,1004.2,64.07801191,1
312,-74.7,1,2219.8,45,1773.7,0.799035949,16.3,0.009189829,1881.1,1.06055139,-91.1,-0.041039733,107.6,0.048472835,-95.4,-0.042976845,-51.3,-0.02311019,6.07,-5.38,-5.14,-2.89,-49.96,1669.8,0.752229931,0.5,0.000281897,10.5,0.005919829,262.9,0.118434093,-57.8,-0.026038382,866.6,0.390395531,1148.1,0.517208758,228.1465496,0.1028,105,0.047301559,-75.5,-0.042566387,971.6,0.43769709,40.52,14.48,519.56,233.8,0.105324804,796.4,0.35877106,138.8,0.078254496,1011.8,0.455806829,-219.7,-0.835678965,0.49,0.82,20.59,0.08,19.49,1.43,2.05,12.57,12.72,4.71,20290311,10,-9.07,-9.07,2219.8,-1.3,1
1501,-67.1,1,481.5,7.2,61.8,0.12834891,2.8,0.045307443,110.5,1.78802589,-45.9,-0.095327103,15.5,0.03219107,-45.9,-0.095327103,-42.1,-0.087435099,25.08,-31.9608,-28.7076,-49.9664,-90.2508,50.3,0.104465213,0.1,0.001618123,0.1,0.001618123,94.9,0.19709242,-95,-0.197300104,433.8,0.900934579,32.7,0.067912773,228.1465496,0.4738,7.2,0.014953271,-102.8,-1.663430421,441,0.91588785,54.839,27.3566,68.06,4.9,0.010176532,332.9,0.691381101,701.0139914,11.34326847,43.1,0.089511942,-15.7,-0.165437302,0.18,0.26,34.694,0.02,21.17,2.36,2.6,10.09,10.28,4.06,9485304,10,-6.03,-6.03,481.5,64.07801191,1
1080,-65,1,8597.9,310.1,2829.3,0.329068726,-10.7,-0.003781854,2832.7,1.001201711,-14.1,-0.001639935,144.4,0.016794799,-14.1,-0.001639935,47.4,0.005512974,5.1,-0.5,-0.5,1.68,-4.55,2453.6,0.285372009,2.6,0.000918955,111.8,0.039515074,1555,0.180858117,-228.18,-0.026539039,7160.2,0.83278475,272.2,0.031658893,228.1465496,0.0265,1124.7,0.130811012,-430.3,-0.152087089,8284.9,0.963595762,23.9,21.9,114.93,356.4,0.041451982,487.5,0.056699892,701.0139914,0.24776941,544.1,0.063282895,-81.7,-0.052540193,0.3,0.87,25.72,0.03,2.11,28.42,15,10.73,8.78,11.72,74382960,10,-0.66,-0.66,8597.9,-7.88,1
2953,-61.3,1,293.1,52.7,323.5,1.103718867,35.5,0.109737249,344.2,1.063987635,14.8,0.050494712,50.9,0.173660867,18.8,0.064141931,35.2,0.120095531,15.73,5.81,4.57,10.88,32.67,323.3,1.103036506,0.1,0.000309119,0.1,0.000309119,78.8,0.268850222,-2.1,-0.00716479,154.5,0.527123849,55.9,0.190719891,6,0.0205,76.7,0.261685432,-2.1,-0.006491499,231.2,0.78880928,4.44,1.75,65.84,34.7,0.118389628,103.3,0.35243944,701.0139914,2.166967516,169,0.576595019,43.1,0.546954315,0.56,1.33,3.39,0.13,19.57,4.36,6.51,9.96,4.24,7.14,22284601.68,-1348.444874,-0.01,-0.01,293.1,64.07801191,1
1847,-49.2,1,277.5,47.4,0.7,0.002522523,0,0,4.9,7,-4.2,-0.015135135,-2.3,-0.008288288,-4.2,-0.015135135,-3.3,-0.011891892,-61.2704,-31.9608,-28.7076,-49.9664,-11.54,4604.023774,16.59107666,81.34220077,116.203144,41.69389313,59.56270447,8.2,0.02954955,13.7,0.049369369,165.6,0.596756757,63.8,0.22990991,228.1465496,0.8221,47.4,0.170810811,13,18.57142857,213,0.767567568,4.84,2.13,1.27,0.6,0.002162162,221.2,0.797117117,6,8.571428571,6.3,0.022702703,-103.2,-12.58536585,0.02,0.05,3.49,0,8.11,0.01,0,5.2,0.66,0,820500,10,-5.97,-5.97,277.5,64.07801191,1
3055,-45.9,1,32.3,0.5,4650.773588,143.9867984,41.8940059,0.009007965,4324.996183,0.929951996,281.7510873,8.722943879,587.1715222,18.1786849,389.8817694,12.07064302,398.2580876,12.32997175,0,0,0,0,0,4604.023774,142.5394357,81.34220077,0.017490037,41.69389313,0.008964937,0.5,0.015479876,1186.252698,36.72608972,31.8,0.984520124,955.2368219,29.57389541,228.1465496,7.0634,0.5,0.015479876,908.8422954,0.195417446,32.3,1,54.839,27.3566,0,936.4739761,28.99300236,1207.22603,37.37541889,701.0139914,0.150730621,0.5,0.015479876,0.5,1,1.385919269,2.113744844,34.694,0.484077784,159.9664189,15.66536849,17.28342431,87.5324658,27.97205637,19.38653821,22284601.68,-1348.444874,0,0,32.3,64.07801191,1
2374,-43,1,464.3,55.1,348.7,0.751023045,41.8940059,0.120143407,357,1.023802696,-8.3,-0.017876373,35.4,0.076243808,-8.1,-0.017445617,1.8,0.003876804,10.15,-2.32,-2.38,0.52,-14.12,339.9,0.732069782,0.4,0.001147118,0.4,0.001147118,59.3,0.127719147,-4.2,-0.009045876,261.3,0.562782684,113.7,0.244884773,34.2,0.0737,55.1,0.118673272,-47.5,-0.136220247,316.4,0.681455955,6.7,2.21,5.26,2.9,0.006245962,196.7,0.423648503,3.6,0.010324061,194.1,0.418048675,-37.4,-0.6306914,0.3,0.79,4.74,0,0.56,3.11,5.39,5.72,3.28,5.72,5943350,10,-1.48,-1.48,464.3,-4.8,1
